address,block,name,is_erc20,major_quote_liquidity_usd,stable_quote_liquidity_usd,native_quote_liquidity_usd,v2_liquidity_usd,v3_liquidity_usd,pool_count,max_pool_liquidity_usd,factory_count,error,pools_json
0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682,10355806,balancer_20200628,1,14747.25877,14747.25877,0.0,14747.25877,0.0,1,14747.25877,1,,"[{""pool"": ""0xa8efb2c276dd9175fb34728fe9dd7139a4e3d0c2"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""USDC"", ""liquidity_usd"": 14747.25877}]"
0x951d51baefb72319d9fbe941e1615938d89abfe2,10592516,opyn,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xacd43e627e64355f1861cec6d3a6688b31a6f952,11792183,yearn_ydai,1,2.200600838603716,2.200600838603537,1.787650034364e-13,2.200600838603716,0.0,2,2.200600838603537,1,,"[{""pool"": ""0x94cdd18f53a8f3ec9a3ec0cbe897aed5ea009c43"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""DAI"", ""liquidity_usd"": 2.200600838603537}, {""pool"": ""0xf0e3b9c6bf2078717ee35e259f43b4f953bd079f"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 1.787650034364e-13}]"
0x051ebd717311350f1684f89335bed4abd083a2b6,12000000,dodo_flashloan,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,13125070,cream,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xa0ff0e694275023f4986dc3ca12a6eb5d6056c62,13225516,nowswap,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xc0a6b8c534fad86df8fa1abb17084a70f86eddc1,13225516,nimbus,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xe38b72d6595fd3885d1d2f770aa23e94757f91a1,14139081,tecraspace,1,1311633.7003305631,1290896.580574,20737.119756563217,1290896.580574,20737.119756563217,2,1290896.580574,2,,"[{""pool"": ""0x420725a69e79eeffb000f98ccd78a52369b6c5d4"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""USDT"", ""liquidity_usd"": 1290896.580574}, {""pool"": ""0x837418d9be10c3464f6c21ef5c30a0b909dfadf2"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""WETH"", ""liquidity_usd"": 20737.119756563217}]"
0x12392f67bdf24fae0af363c24ac620a2f67dad86,14266479,compoundtusd,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670,14972418,inversefinance,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xb276647e70cb3b81a1ca302cf8de280ff0ce5799,15310016,xst,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,uerii,1,10905946.710184855,10905946.710184855,0.0,0.0,10905946.710184855,1,10905946.710184855,1,,"[{""pool"": ""0x5ffaf1b4da96d6cfd4045035a94a924fc39631dc"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 500, ""quote"": ""USDC"", ""liquidity_usd"": 10905946.710184855}]"
0x2321537fd8ef4644bacdceec54e5f35bf44311fa,15826379,n00d,1,213162.48406741937,0.26583396331107645,213162.21823345605,213162.21823345605,0.26583396331107645,2,213162.21823345605,2,,"[{""pool"": ""0x5476db8b72337d44a6724277083b1a927c82a389"", ""dex"": ""sushiswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 213162.21823345605}, {""pool"": ""0x21c6f5d2ecea9950e19ab229a7705ac23e43a35e"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""USDC"", ""liquidity_usd"": 0.26583396331107645}]"
0x46161158b1947d9149e066d6d31af1283b2d377c,15941703,dfx,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xf2919d1d80aff2940274014bef534f7791906ff2,16288199,jay,1,8.607112376184e-14,0.0,8.607112376184e-14,8.607112376184e-14,0.0,1,8.607112376184e-14,1,,"[{""pool"": ""0xc15ef3e551e8417046d20a2b2265279b1bdd4542"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 8.607112376184e-14}]"
0xc9fa8f4cfd11559b50c5c7f6672b9eea2757e1bd,16430212,qtn,1,9489.953004251625,0.0,9489.953004251625,9489.953004251625,0.0,1,9489.953004251625,1,,"[{""pool"": ""0xa8208da95869060cfd40a23eb11f2158639c829b"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 9489.953004251625}]"
0x35a254223960c18b69c0526c46b013d022e93902,16433820,upswing,1,1170.0930433675805,0.0,1170.0930433675805,1170.0930433675805,0.0,1,1170.0930433675805,1,,"[{""pool"": ""0x0e823a8569cf12c1e7c216d3b8aef64a7fc5fb34"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 1170.0930433675805}]"
0x31a4f372aa891b46ba44dc64be1d8947c889e9c6,16440978,shoco,1,13071.337110531695,0.0,13071.337110531695,13071.337110531695,0.0,1,13071.337110531695,1,,"[{""pool"": ""0x806b6c6819b1f62ca4b66658b669f0a98e385d18"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 13071.337110531695}]"
0x2d0e64b6bf13660a4c0de42a0b88144a7c10991f,16489408,tinu,1,71408.68156087658,0.0,71408.68156087658,71408.68156087658,0.0,1,71408.68156087658,1,,"[{""pool"": ""0xb835752feb00c278484c464b697e03b03c53e11b"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 71408.68156087658}]"
0x83f798e925bcd4017eb265844fddabb448f1707d,17036774,yearnfinance,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x8ce2f9286f50fbe2464bfd881fab8effc8dc584f,17057419,swapos,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xeda47e13fd1192e32226753dc2261c4a14908fb7,17220892,hodlcapital,1,49343.51588258149,0.0,49343.51588258149,49343.51588258149,0.0,1,49343.51588258149,1,,"[{""pool"": ""0x28e6cab57d87e6f85ff650fb0a7be9be5e1897d4"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 49343.51588258149}]"
0x1a7981d87e3b6a95c1516eb820e223fe979896b3,17221445,multichaincapital,1,213987.14794863743,0.0,213987.14794863743,213987.14794863743,5.5197e-15,3,213987.14794863743,2,,"[{""pool"": ""0xdca79f1f78b866988081de8a06f92b5e5d316857"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 213987.14794863743}, {""pool"": ""0x3afae6c86351696d5cedc0ab1de8f26a6951acf4"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""WETH"", ""liquidity_usd"": 3.6798e-15}, {""pool"": ""0x09cb909b5804f1c836ed39acd9be8a8c4207e49f"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 3000, ""quote"": ""WETH"", ""liquidity_usd"": 1.8399e-15}]"
0xf7ef0d57277ad6c2babf87ab64ba61abdd2590d2,17421006,vinu,1,12121.097357371476,0.0,12121.097357371476,12121.097357371476,0.0,1,12121.097357371476,1,,"[{""pool"": ""0xa8af8ac7acd97095c0d73ed51e30564d52b19cd8"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 12121.097357371476}]"
0xb0f8fe96b4880adbdede0ddf446bd1e7ef122c4e,17620870,bao,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd,17690497,ehive,1,63921.36148117906,0.02002895347610261,63921.341452225584,63921.34133335577,0.02014782329135035,3,63921.34133335577,2,,"[{""pool"": ""0xae851769593ac6048d36bc123700649827659a82"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 63921.34133335577}, {""pool"": ""0xbabfff71ead6b9798ffe29a950dcd348115c5f62"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""USDC"", ""liquidity_usd"": 0.02002895347610261}, {""pool"": ""0x14b0cbda8b96b23c6418bc808e413cfb322753d0"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""WETH"", ""liquidity_usd"": 0.00011886981524773941}]"
0x4306b12f8e824ce1fa9604bbd88f2ad4f0fe3c54,17826202,uwerx,1,648389.0289145802,0.0,648389.0289145802,648389.0289145802,0.0,1,648389.0289145802,1,,"[{""pool"": ""0xa41529982bcccdfa1105c6f08024df787ca758c4"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 648389.0289145802}]"
0x863e572b215fd67c855d973f870266cf827aea5e,17875885,earningfram,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x9210f1204b5a24742eba12f710636d76240df3d0,18004651,balancer,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x2033b54b6789a963a02bfcbd40a46816770f1161,18305131,pseudoeth,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xf5140fc35c6f94d02d7466f793feb0216082d7e5,18385885,ktaf,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x5fdbcd61bc9bd4b6d3fd1f49a5d253165ea11750,18476512,onyxprotocol,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x8390a1da07e376ef7add4be859ba74fb83aa02d5,18538678,grok,1,1522078.0980221594,4e-06,1522078.0980181594,849596.1612952545,672481.9367269049,3,849596.1612912545,2,,"[{""pool"": ""0x69c66beafb06674db41b22cfc50c34a93b8d82a2"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""WETH"", ""liquidity_usd"": 849596.1612912545}, {""pool"": ""0x66ba59cbd09e75b209d1d7e8cf97f4ab34da413b"", ""dex"": ""uniswap_v3"", ""kind"": ""v3"", ""fee"": 10000, ""quote"": ""WETH"", ""liquidity_usd"": 672481.9367269049}, {""pool"": ""0xd87b849f1747fdf3d7722186be1f007f1dfaba66"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""USDC"", ""liquidity_usd"": 4e-06}]"
0x9ab6b21cdf116f611110b048987e58894786c244,18543485,raft,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0xa44e79a2c9a8965e7a6fa77bf0ca8faf50e6c73e,18680254,burntbubba,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,[]
0x04c80bb477890f3021f03b068238836ee20aa0b8,19106654,barleyfinance,1,164376.30070426033,164376.30070426033,0.0,164376.30070426033,0.0,1,164376.30070426033,1,,"[{""pool"": ""0xacfe34cb9a912a8cd736eb9f072cfee09ed74c4d"", ""dex"": ""uniswap_v2"", ""kind"": ""v2"", ""quote"": ""DAI"", ""liquidity_usd"": 164376.30070426033}]"
