address,label,bytecode_len,unique_byte_pairs,tx_count,unique_callers,avg_gas,token_transfer_count,distinct_tokens,total_tvl_usd,log_tvl,is_erc20,is_verified,was_traded
0x9cb928bf50ed220ac8f703bce35be5ce7f56c99c,1,8180.0,248.0,2392.0,1539.0,242897.8758361204,0.0,0.0,0.0,0.0,1,1,1
0x7e6c2522fee4e74a0182b9c6159048361bc3260a,1,7218.0,247.0,14690.0,3384.0,165308.54261402314,10667.0,1.0,24918.94841207462,4.396547138935185,0,1,1
0x1292267f726e6f313972ec4e14578735473e1649,1,12829.0,250.0,3.0,2.0,2017582.6666666667,0.0,0.0,0.0,0.0,0,1,1
0xabc6e5a63689b8542dbdc4b4f39a7e00d4ac30c8,1,12650.0,251.0,4.0,4.0,42558.5,0.0,0.0,0.0,0.0,1,1,1
0xe968d2e4adc89609773571301abec3399d163c3b,1,11957.0,252.0,468.0,38.0,140882.89743589744,52.0,1.0,56912.796285543096,4.755217555049119,1,1,1
0xb47955b5b7eaf49c815ebc389850eb576c460092,1,16762.0,255.0,323.0,285.0,84768.32817337461,239.0,1.0,1050.6202771182184,3.0218589514887664,1,1,1
0x3da0f00d5c4e544924bc7282e18497c4a4c92046,1,2674.0,187.0,154.0,39.0,117230.25324675324,134.0,1.0,229058.03227666672,5.359947421589399,0,1,1
0xeab0d46682ac707a06aefb0ac72a91a3fd6fe5d1,1,6685.0,254.0,164.0,98.0,46565.75,0.0,0.0,0.0,0.0,1,1,1
0xa79fe386b88fbee6e492eeb76ec48517d1ec759a,1,11859.0,254.0,2021.0,1299.0,184191.50173181592,1693.0,1.0,17620664.10364862,7.246022297117629,0,1,1
0xe9d1d2a27458378dd6c6f0b2c390807aed2217ca,1,1581.0,190.0,579846.0,13704.0,188096.6655318826,95120.0,61.0,216475448.7802504,8.335408650668471,0,1,1
0xe56842ed550ff2794f010738554db45e60730371,1,6661.0,240.0,162398.0,80953.0,41702.709799381766,114.0,11.0,27150.720525559344,4.433797354775012,1,1,1
0x65f11b2de17c4af7a8f70858d6ccb63aac215697,1,4221.0,221.0,63.0,13.0,41342.04761904762,0.0,0.0,0.0,0.0,1,1,1
0xdd9b223aec6ea56567a62f21ff89585ff125632c,1,22248.0,255.0,4497.0,456.0,103626.05514787637,0.0,0.0,0.0,0.0,1,1,1
0xd55f01b4b51b7f48912cd8ca3cdd8070a1a9dba5,1,707.0,120.0,6.0,1.0,42980.0,0.0,0.0,0.0,0.0,0,1,1
0x6b869795937dd2b6f4e03d5a0ffd07a8ad8c095b,1,2141.0,198.0,405.0,190.0,194882.88395061728,407.0,2.0,150812.889690981,5.178441341125013,0,1,1
0xdec12a1dcbc1f741ccd02dfd862ab226f6383003,1,8392.0,242.0,13.0,1.0,80579.23076923077,0.0,0.0,0.0,0.0,0,1,1
0xed56784bc8f2c036f6b0d8e04cb83c253e4a6a94,1,11337.0,251.0,534.0,400.0,41818.08801498127,0.0,0.0,0.0,0.0,1,1,1
0xb1da08c472567eb0ec19639b1822f578d39f3333,1,12806.0,255.0,2748.0,1064.0,164253.63100436682,0.0,0.0,0.0,0.0,1,1,1
0x5813d7818c9d8f29a9a96b00031ef576e892def4,1,14981.0,246.0,0.0,0.0,0.0,1059.0,1.0,75466.86187027628,4.877762045882553,1,1,1
0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,1,13493.0,252.0,135286.0,32812.0,134313.64394689768,6.0,1.0,169.50234574988218,2.2317303583386154,1,1,1
0x028c911c10c9e346158206991e02d09bd0a8a35b,1,3948.0,238.0,13806.0,8750.0,107322.85520788064,0.0,0.0,0.0,0.0,0,1,1
