address,block,name
0xa943ea143cd7e79806d670f4a7cf08f8922a454f,6920000,uranium
0x3de669c4f1f167a8afbc9993e4753b84b576426f,7048832,spartan
0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8,7223029,valuedefi
0xb390b07fcf76678089cb12d8e615d5fe494b01fb,7457124,bearn
0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,7556330,pancakebunny
0x7ac55ac530f2c29659573bde0700c6758d69e677,7781159,burgerswap
0x32dffc3fe8e3ef3571bf8a72c0d0015c5373f41d,7785586,julswap
0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,7962338,pancakehunny
0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,8530973,eleven
0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,8589725,xwin
0xa79fe386b88fbee6e492eeb76ec48517d1ec759a,9728755,waultfinance
0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,10087723,xsurge
0xd0fbf0a224563d5ffc8a57e4fda6ae080ebcf3d3,12653565,nervebridge
0x844fa82f1e54824655470970f7004dd90546bb28,12886415,ploutoz
0x633fa755a83b015cccdc451f82c57ea0bd32b4b4,16008280,paraluni
0x1befe6f3f0e8edd2d4d15cae97baee01e51ea4a4,16798806,gym_1
0x8b7218cf6ac641382d7c723de8aa173e98a80196,16841980,cftoken
0xd55f01b4b51b7f48912cd8ca3cdd8070a1a9dba5,16956474,rikkei
0xe7748fce1d1e2f2fd2dddb5074bd074745dda8ea,17132514,zeed
0x46ba8a59f4863bd20a066fd985b163235425b5f9,17248705,wdoge
0x94e06c77b02ade8341489ab9a23451f68c13ec1c,18073756,hackdao
0x6fb2020c236bbd5a7ddeb07e14c9298642253333,18225002,novo
0xe732a7bd6706cbd6834b300d7c56a8d2096723a7,18446845,discover
0xa8987285e100a8b557f06a7889f79e0064b359f2,18501049,gym_2
0x2287c04a15bb11ad1358ba5702c1c95e2d13a5e0,19523980,spacegodzilla
0x1e813fa05739bf145c1f182cb950da7af046778d,19852596,lpc
